epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.463,0.65315,2.68939,1.18356,0.98891,0.98581,0.99438,0.85966,0.61599,1.01517,1.0212,0.0033315,0.0033315,0.0033315
2,507.965,0.56496,1.61925,1.10265,0.99569,0.99677,0.99493,0.86654,0.58139,0.88089,0.96196,0.00653287,0.00653287,0.00653287
3,753.785,0.55551,1.49354,1.08538,0.99715,0.99839,0.995,0.89098,0.50956,0.76713,0.89376,0.00960224,0.00960224,0.00960224
4,998.711,0.52687,1.36301,1.0669,0.9966,0.995,0.99498,0.90101,0.4867,0.80248,0.88877,0.009406,0.009406,0.009406
5,1244.15,0.48463,1.18635,1.04247,0.99979,0.99903,0.995,0.91584,0.43,0.64266,0.82217,0.009208,0.009208,0.009208
6,1489.52,0.45471,1.0936,1.02719,0.99971,0.99973,0.995,0.93631,0.4107,0.6522,0.82374,0.00901,0.00901,0.00901
7,1735.2,0.43076,1.02736,1.01834,0.99996,0.99994,0.995,0.93458,0.39815,0.59751,0.80347,0.008812,0.008812,0.008812
8,1980.5,0.41638,0.9792,1.01173,0.99996,1,0.995,0.96411,0.33678,0.551,0.75524,0.008614,0.008614,0.008614
9,2225.96,0.40353,0.93133,1.00453,0.99962,0.99955,0.99484,0.95679,0.33974,0.56103,0.75286,0.008416,0.008416,0.008416
10,2471.49,0.39608,0.91017,1.00145,0.99988,0.99972,0.995,0.96344,0.32876,0.57215,0.74822,0.008218,0.008218,0.008218
11,2724.5,0.3862,0.87639,0.99689,0.99992,0.99987,0.995,0.9585,0.33821,0.52356,0.75402,0.00802,0.00802,0.00802
12,2991.42,0.3777,0.84875,0.99468,0.99992,0.99985,0.995,0.96438,0.32349,0.52971,0.74633,0.007822,0.007822,0.007822
13,3260.27,0.37396,0.83881,0.99275,0.99988,0.99998,0.995,0.96791,0.31851,0.51933,0.74027,0.007624,0.007624,0.007624
14,3519.97,0.36632,0.8164,0.99022,0.99997,1,0.995,0.96806,0.32154,0.58356,0.74123,0.007426,0.007426,0.007426
15,3779.35,0.36408,0.80052,0.98745,0.99997,0.99996,0.995,0.96795,0.31495,0.55736,0.73905,0.007228,0.007228,0.007228
16,4039.9,0.3595,0.78905,0.98585,0.99991,0.99985,0.995,0.96996,0.31814,0.52223,0.74073,0.00703,0.00703,0.00703
17,4299.27,0.35459,0.78037,0.98443,0.99997,0.99997,0.995,0.97504,0.30216,0.49556,0.73038,0.006832,0.006832,0.006832
18,4558.01,0.34918,0.76105,0.98204,0.99988,0.99998,0.995,0.97534,0.30019,0.49718,0.7245,0.006634,0.006634,0.006634
19,4824.78,0.34384,0.75068,0.98041,0.99996,1,0.995,0.97432,0.29733,0.48609,0.72023,0.006436,0.006436,0.006436
20,5092.96,0.33945,0.73832,0.97815,0.99997,1,0.995,0.97402,0.2958,0.49145,0.71859,0.006238,0.006238,0.006238
21,5361.25,0.3388,0.73112,0.97836,0.99989,0.99999,0.995,0.97698,0.28264,0.49033,0.71501,0.00604,0.00604,0.00604
22,5627.18,0.33272,0.71757,0.97604,0.99978,1,0.995,0.9782,0.28319,0.47161,0.71477,0.005842,0.005842,0.005842
