epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.3833,0.19778,0.99745,1,0.00732,0.000555363,0.000555363,0.000555363
2,74.9368,0.06056,0.99697,1,0.0088,0.00105603,0.00105603,0.00105603
3,109.522,0.04715,0.99856,1,0.00373,0.00150169,0.00150169,0.00150169
4,143.603,0.03964,0.99984,1,0.00073,0.00141945,0.00141945,0.00141945
5,177.57,0.02459,0.99952,1,0.00162,0.00133693,0.00133693,0.00133693
6,211.692,0.01551,1,1,0.00024,0.00125442,0.00125442,0.00125442
7,245.779,0.01466,1,1,0.00015,0.0011719,0.0011719,0.0011719
8,280.159,0.01595,0.99984,1,0.00044,0.00108938,0.00108938,0.00108938
9,314.47,0.01009,1,1,2e-05,0.00100687,0.00100687,0.00100687
10,348.899,0.00985,0.99984,1,0.00038,0.000924352,0.000924352,0.000924352
11,383.644,0.01138,1,1,5e-05,0.000841835,0.000841835,0.000841835
12,417.784,0.00591,1,1,1e-05,0.000759318,0.000759318,0.000759318
13,452.048,0.00532,0.99984,1,0.00011,0.000676802,0.000676802,0.000676802
1,39.636,0.19778,0.99745,1,0.00732,0.000555363,0.000555363,0.000555363
2,75.324,0.06056,0.99697,1,0.0088,0.00105603,0.00105603,0.00105603
3,109.351,0.04715,0.99856,1,0.00373,0.00150169,0.00150169,0.00150169
4,142.775,0.03964,0.99984,1,0.00073,0.00141945,0.00141945,0.00141945
5,176.395,0.02459,0.99952,1,0.00162,0.00133693,0.00133693,0.00133693
6,209.812,0.01551,1,1,0.00024,0.00125442,0.00125442,0.00125442
7,242.706,0.01466,1,1,0.00015,0.0011719,0.0011719,0.0011719
8,277.211,0.01595,0.99984,1,0.00044,0.00108938,0.00108938,0.00108938
9,312.913,0.01009,1,1,2e-05,0.00100687,0.00100687,0.00100687
10,348.434,0.00985,0.99984,1,0.00038,0.000924352,0.000924352,0.000924352
11,384.084,0.01138,1,1,5e-05,0.000841835,0.000841835,0.000841835
12,419.054,0.00591,1,1,1e-05,0.000759318,0.000759318,0.000759318
13,454.297,0.00532,0.99984,1,0.00011,0.000676802,0.000676802,0.000676802
14,489.51,0.00415,1,1,1e-05,0.000594286,0.000594286,0.000594286
15,524.506,0.0046,1,1,1e-05,0.000511769,0.000511769,0.000511769
16,559.773,0.00514,1,1,0,0.000429253,0.000429253,0.000429253
17,594.864,0.00288,1,1,0,0.000346736,0.000346736,0.000346736
18,629.911,0.00186,1,1,0,0.00026422,0.00026422,0.00026422
19,666.568,0.00199,1,1,0,0.000181703,0.000181703,0.000181703
20,699.723,0.00151,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
